epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,25667.1,0.58858,0.34292,0.92121,0.94056,0.91916,0.95776,0.7609,0.77505,0.41595,1.01946,0.0006041,0.0006041,0.0006041
143,25842.5,0.59731,0.34562,0.92538,0.90988,0.92946,0.95922,0.76862,0.777,0.42483,1.02185,0.0005942,0.0005942,0.0005942
144,26001,0.59061,0.34101,0.92574,0.93172,0.9059,0.95942,0.77327,0.75651,0.43264,1.01189,0.0005843,0.0005843,0.0005843
145,26193.5,0.57421,0.34147,0.92265,0.90211,0.91777,0.94354,0.74783,0.78455,0.45792,1.03174,0.0005744,0.0005744,0.0005744
146,26365.9,0.5905,0.3417,0.91938,0.88611,0.93776,0.95241,0.76819,0.74853,0.43751,1.00261,0.0005645,0.0005645,0.0005645
147,26551.9,0.56367,0.32517,0.91273,0.90635,0.92367,0.95715,0.76078,0.74816,0.4242,1.01393,0.0005546,0.0005546,0.0005546
148,26724.8,0.57384,0.33273,0.91623,0.89697,0.92116,0.94946,0.75602,0.78986,0.47798,1.02827,0.0005447,0.0005447,0.0005447
149,26910.1,0.58006,0.33665,0.91764,0.8988,0.91286,0.94959,0.75821,0.74906,0.4308,1.00813,0.0005348,0.0005348,0.0005348
150,27093.8,0.57172,0.33526,0.91511,0.93546,0.90209,0.95846,0.77984,0.76077,0.44185,1.00744,0.0005249,0.0005249,0.0005249
151,27270.9,0.58208,0.34235,0.92041,0.9028,0.91701,0.9486,0.77036,0.75253,0.43869,1.00617,0.000515,0.000515,0.000515
152,27476.2,0.55589,0.32808,0.90726,0.93427,0.91286,0.959,0.78227,0.75148,0.42346,1.00536,0.0005051,0.0005051,0.0005051
153,27654,0.55932,0.32378,0.91112,0.90283,0.92532,0.95032,0.75728,0.79978,0.4556,1.03041,0.0004952,0.0004952,0.0004952
154,27841,0.5591,0.3306,0.91319,0.94492,0.92542,0.95959,0.7789,0.75102,0.40166,1.0037,0.0004853,0.0004853,0.0004853
155,27993.9,0.55183,0.32803,0.90865,0.93284,0.92946,0.95867,0.76999,0.71892,0.42317,0.99739,0.0004754,0.0004754,0.0004754
